# Version 1.00
#
freq[Hz]	re:Trc2_S22	im:Trc2_S22	
3.947500000000000E+009	1.117523536086083E-001	-6.819836497306824E-001	
3.970000000000000E+009	1.158258542418480E-001	-6.897185444831848E-001	
3.992500000000000E+009	9.757122397422791E-002	-6.869316697120667E-001	
4.015000000000000E+009	8.586750924587250E-002	-6.991888880729675E-001	
4.037500000000000E+009	8.663781732320786E-002	-7.004702687263489E-001	
4.060000000000000E+009	6.484157592058182E-002	-7.005121707916260E-001	
4.082500000000000E+009	6.202345341444016E-002	-7.171998620033264E-001	
4.105000000000000E+009	6.170551851391792E-002	-7.149555087089539E-001	
4.127500000000000E+009	3.376594930887222E-002	-7.181987166404724E-001	
4.150000000000000E+009	3.749388083815575E-002	-7.334619760513306E-001	
4.172500000000000E+009	2.667510509490967E-002	-7.295283675193787E-001	
4.195000000000000E+009	4.478901624679565E-003	-7.341699004173279E-001	
4.217500000000000E+009	8.481483906507492E-003	-7.484905719757080E-001	
4.240000000000000E+009	-1.194702833890915E-002	-7.400999069213867E-001	
4.262500000000000E+009	-3.472492843866348E-002	-7.530367970466614E-001	
4.285000000000000E+009	-3.154608607292175E-002	-7.603211402893066E-001	
4.307500000000000E+009	-6.218144297599793E-002	-7.508001923561096E-001	
4.330000000000000E+009	-7.864271104335785E-002	-7.670655250549316E-001	
4.352500000000000E+009	-8.315651118755341E-002	-7.651463150978088E-001	
4.375000000000000E+009	-1.192890107631683E-001	-7.524831891059876E-001	
4.397500000000000E+009	-1.271465867757797E-001	-7.724146842956543E-001	
4.420000000000000E+009	-1.322820037603378E-001	-7.606283426284790E-001	
4.442500000000000E+009	-1.692803800106049E-001	-7.519240975379944E-001	
4.465000000000000E+009	-1.714100986719132E-001	-7.688302993774414E-001	
4.487500000000000E+009	-1.851654946804047E-001	-7.455452680587769E-001	
4.510000000000000E+009	-2.145969271659851E-001	-7.432715892791748E-001	
4.532500000000000E+009	-2.121429145336151E-001	-7.527517676353455E-001	
4.555000000000000E+009	-2.353058755397797E-001	-7.237892746925354E-001	
4.577500000000000E+009	-2.599666714668274E-001	-7.288361787796021E-001	
4.600000000000000E+009	-2.505804598331451E-001	-7.287853360176086E-001	
4.622500000000000E+009	-2.769771218299866E-001	-7.037903070449829E-001	
4.645000000000000E+009	-2.937563955783844E-001	-7.129934430122376E-001	
4.667500000000000E+009	-2.881088256835938E-001	-7.026039958000183E-001	
4.690000000000000E+009	-3.169026970863342E-001	-6.818801760673523E-001	
4.712500000000000E+009	-3.152183592319489E-001	-6.958016157150269E-001	
4.735000000000000E+009	-3.228313028812408E-001	-6.718734502792358E-001	
4.757500000000000E+009	-3.471477031707764E-001	-6.630585789680481E-001	
4.780000000000000E+009	-3.384412825107575E-001	-6.736028790473938E-001	
4.802500000000000E+009	-3.460913598537445E-001	-6.370937228202820E-001	
4.825000000000000E+009	-3.669293522834778E-001	-6.451560854911804E-001	
4.847500000000000E+009	-3.526296019554138E-001	-6.504482030868530E-001	
4.870000000000000E+009	-3.768617212772369E-001	-6.159897446632385E-001	
4.892500000000000E+009	-3.914690911769867E-001	-6.294947862625122E-001	
4.915000000000000E+009	-3.802835047245026E-001	-6.285734176635742E-001	
4.937500000000000E+009	-4.037686586380005E-001	-6.009923219680786E-001	
4.960000000000000E+009	-4.186368584632874E-001	-6.196392774581909E-001	
4.982500000000000E+009	-4.127098321914673E-001	-6.043413877487183E-001	
5.005000000000000E+009	-4.369131028652191E-001	-5.926604270935059E-001	
5.027500000000000E+009	-4.387589991092682E-001	-6.066210865974426E-001	
5.050000000000000E+009	-4.466058015823364E-001	-5.809785127639771E-001	
5.072500000000000E+009	-4.702776074409485E-001	-5.689101219177246E-001	
5.095000000000000E+009	-4.677297472953796E-001	-5.726438760757446E-001	
5.117500000000000E+009	-4.845400154590607E-001	-5.342350006103516E-001	
5.140000000000000E+009	-4.954435527324677E-001	-5.273259282112122E-001	
5.162500000000000E+009	-4.755316972732544E-001	-5.116037130355835E-001	
5.185000000000000E+009	-4.733143150806427E-001	-4.876059889793396E-001	
5.207500000000000E+009	-4.734686017036438E-001	-5.125750899314880E-001	
5.230000000000000E+009	-4.592773318290710E-001	-5.119714736938477E-001	
5.252500000000000E+009	-4.822095036506653E-001	-5.032315254211426E-001	
5.275000000000000E+009	-4.861671030521393E-001	-5.205792784690857E-001	
5.297500000000000E+009	-4.873869419097900E-001	-5.068410634994507E-001	
5.320000000000000E+009	-5.074317455291748E-001	-4.960406422615051E-001	
5.342500000000000E+009	-5.115422606468201E-001	-5.072787404060364E-001	
5.365000000000000E+009	-5.177876949310303E-001	-4.738011658191681E-001	
5.387500000000000E+009	-5.380535125732422E-001	-4.763518571853638E-001	
5.410000000000000E+009	-5.336503386497498E-001	-4.803825318813324E-001	
5.432500000000000E+009	-5.442880988121033E-001	-4.512027800083160E-001	
5.455000000000000E+009	-5.623632669448853E-001	-4.536051750183106E-001	
5.477500000000000E+009	-5.539310574531555E-001	-4.501585960388184E-001	
5.500000000000000E+009	-5.692787170410156E-001	-4.221141040325165E-001	
