#Parameters = {Disk_Antenna_1_S11_target_top=-18; Disk_Antenna_1_center_frequency=2.6; Disk_Antenna_1_central_pipe_radius=2.5; Disk_Antenna_1_connector_inner_diameter=1.74; Disk_Antenna_1_connector_outer_diameter=4; Disk_Antenna_1_direction_disks_diameter_1=48.5; Disk_Antenna_1_direction_disks_diameter_2=38.5; Disk_Antenna_1_direction_disks_diameter_3=38.5; Disk_Antenna_1_direction_disks_diameter_4=36.5; Disk_Antenna_1_direction_disks_diameter_5=36; Disk_Antenna_1_disk_metallization_thickness=0.5; Disk_Antenna_1_frequency_range=0.2; Disk_Antenna_1_inter_direction_disks_distance_1=27; Disk_Antenna_1_inter_direction_disks_distance_2=28.5; Disk_Antenna_1_inter_direction_disks_distance_3=33; Disk_Antenna_1_inter_direction_disks_distance_4=28; Disk_Antenna_1_line_direction_disk_distance=11; Disk_Antenna_1_line_disk_diameter=64.5; Disk_Antenna_1_main_line_disks_distance=9.5; Disk_Antenna_1_main_reflector_diameter=84.5; Disk_Antenna_1_number_direction_disk=5; Disk_Antenna_1_nut_diameter=8; Disk_Antenna_1_nut_height=1; Disk_Antenna_1_nut_thickness=3; Disk_Antenna_1_optimisation_range=0.1; Disk_Antenna_1_port_connection_offset=26}
#"Frequency / GHz"	"S1,1 (440) [Re]"	"S1,1 (440) [Im]"	"Ref.Imp. [Re]"	"Ref.Imp. [Im]"
#-------------------------------------------------------------------------------------
0.50000000000000	-0.21894756861003	0.93666900794584	50.000000000000	0.00000000000000
0.50550000000000	-0.20650901668483	0.93907011102220	50.000000000000	0.00000000000000
0.51100000000000	-0.19404549717286	0.94129502030986	50.000000000000	0.00000000000000
0.51650000000000	-0.18155900986528	0.94334297019191	50.000000000000	0.00000000000000
0.52200000000000	-0.16905155705762	0.94521318067274	50.000000000000	0.00000000000000
0.52750000000000	-0.15652514548575	0.94690485510989	50.000000000000	0.00000000000000
0.53300000000000	-0.14398178847237	0.94841717793459	50.000000000000	0.00000000000000
0.53850000000000	-0.13142350829748	0.94974931236786	50.000000000000	0.00000000000000
0.54400000000000	-0.11885233880726	0.95090039813966	50.000000000000	0.00000000000000
0.54950000000000	-0.10627032827646	0.95186954921980	50.000000000000	0.00000000000000
0.55500000000000	-0.093679542541098	0.95265585157117	50.000000000000	0.00000000000000
0.56050000000000	-0.081082068418549	0.95325836093665	50.000000000000	0.00000000000000
0.56600000000000	-0.068480017434213	0.95367610067369	50.000000000000	0.00000000000000
0.57150000000000	-0.055875529874175	0.95390805965177	50.000000000000	0.00000000000000
0.57700000000000	-0.043270779185007	0.95395319023132	50.000000000000	0.00000000000000
0.58250000000000	-0.030667976743263	0.95381040634399	50.000000000000	0.00000000000000
0.58800000000000	-0.018069377017824	0.95347858169878	50.000000000000	0.00000000000000
0.59350000000000	-0.0054772831495713	0.95295654814045	50.000000000000	0.00000000000000
0.59900000000000	0.0071059470254041	0.95224309419183	50.000000000000	0.00000000000000
0.60450000000000	0.019677894483096	0.95133696381483	50.000000000000	0.00000000000000
0.61000000000000	0.032236072021136	0.95023685543129	50.000000000000	0.00000000000000
0.61550000000000	0.044777916743404	0.94894142124873	50.000000000000	0.00000000000000
0.62100000000000	0.057300781990284	0.94744926694440	50.000000000000	0.00000000000000
0.62650000000000	0.069801928687282	0.94575895176578	50.000000000000	0.00000000000000
0.63200000000000	0.082278516083048	0.94386898911571	50.000000000000	0.00000000000000
0.63750000000000	0.094727591851069	0.94177784769757	50.000000000000	0.00000000000000
0.64300000000000	0.10714608152962	0.93948395330670	50.000000000000	0.00000000000000
0.64850000000000	0.11953077727792	0.93698569136449	50.000000000000	0.00000000000000
0.65400000000000	0.13187832593095	0.93428141030413	50.000000000000	0.00000000000000
0.65950000000000	0.14418521633958	0.93136942592973	50.000000000000	0.00000000000000
0.66500000000000	0.15644776599078	0.92824802688521	50.000000000000	0.00000000000000
0.67050000000000	0.16866210691132	0.92491548138513	50.000000000000	0.00000000000000
0.67600000000000	0.18082417086999	0.92137004537677	50.000000000000	0.00000000000000
0.68150000000000	0.19292967390781	0.91760997232038	50.000000000000	0.00000000000000
0.68700000000000	0.20497410024413	0.91363352479498	50.000000000000	0.00000000000000
0.69250000000000	0.21695268562781	0.90943898815622	50.000000000000	0.00000000000000
0.69800000000000	0.22886040023032	0.90502468649492	50.000000000000	0.00000000000000
0.70350000000000	0.24069193120963	0.90038900116536	50.000000000000	0.00000000000000
0.70900000000000	0.25244166511259	0.89553039217415	50.000000000000	0.00000000000000
0.71450000000000	0.26410367033004	0.89044742274000	50.000000000000	0.00000000000000
0.72000000000000	0.27567167987340	0.88513878735330	50.000000000000	0.00000000000000
0.72550000000000	0.28713907480544	0.87960334367876	50.000000000000	0.00000000000000
0.73100000000000	0.29849886873287	0.87384014865482	50.000000000000	0.00000000000000
0.73650000000000	0.30974369385422	0.86784849914598	50.000000000000	0.00000000000000
0.74200000000000	0.32086578915520	0.86162797749815	50.000000000000	0.00000000000000
0.74750000000000	0.33185699145536	0.85517850232778	50.000000000000	0.00000000000000
0.75300000000000	0.34270873013517	0.84850038484012	50.000000000000	0.00000000000000
0.75850000000000	0.35341202651096	0.84159439091579	50.000000000000	0.00000000000000
0.76400000000000	0.36395749897638	0.83446180912247	50.000000000000	0.00000000000000
0.76950000000000	0.37433537519039	0.82710452469446	50.000000000000	0.00000000000000
0.77500000000000	0.38453551276086	0.81952509936986	50.000000000000	0.00000000000000
0.78050000000000	0.39454743004402	0.81172685677655	50.000000000000	0.00000000000000
