#Parameters = {Disk_Antenna_1_cable_length=200; Disk_Antenna_1_S11_target_top=-16; Disk_Antenna_1_center_frequency=2.05; Disk_Antenna_1_central_pipe_radius=2.5; Disk_Antenna_1_connector_inner_diameter=1.74; Disk_Antenna_1_connector_outer_diameter=4; Disk_Antenna_1_direction_disks_diameter_1=63.843616018016; Disk_Antenna_1_direction_disks_diameter_2=27.53184776458; Disk_Antenna_1_direction_disks_diameter_3=31.051367460625; Disk_Antenna_1_direction_disks_diameter_4=42.855452727028; Disk_Antenna_1_direction_disks_diameter_5=29.061253429702; Disk_Antenna_1_direction_disks_diameter_6=28.90789592708; Disk_Antenna_1_disk_metallization_thickness=0.5; Disk_Antenna_1_frequency_range=0.3; Disk_Antenna_1_inter_direction_disks_distance_1=25.905004659592; Disk_Antenna_1_inter_direction_disks_distance_2=26.472634988343; Disk_Antenna_1_inter_direction_disks_distance_3=34.857105569127; Disk_Antenna_1_inter_direction_disks_distance_4=34.1347359059; Disk_Antenna_1_inter_direction_disks_distance_5=30.997665516191; Disk_Antenna_1_line_direction_disk_distance=9.0977533418569; Disk_Antenna_1_line_disk_diameter=81.515894514316; Disk_Antenna_1_main_line_disks_distance=7.8585000984128; Disk_Antenna_1_main_reflector_diameter=139.93411235029; Disk_Antenna_1_number_direction_disk=6; Disk_Antenna_1_nut_diameter=8; Disk_Antenna_1_nut_height=1; Disk_Antenna_1_nut_thickness=3; Disk_Antenna_1_optimisation_range=0.2; Disk_Antenna_1_port_connection_offset=26.9633041455}
#"Frequency / GHz"	"S1,1 (1) [Re]"	"S1,1 (1) [Im]"	"Ref.Imp. [Re]"	"Ref.Imp. [Im]"
#---------------------------------------------------------------------------------
0.50000000000000	-0.59598130889069	-0.78992275515650	50.000000000000	0.00000000000000
0.50550000000000	-0.64308244107075	-0.75215508238009	50.000000000000	0.00000000000000
0.51100000000000	-0.68784460354456	-0.71156247922981	50.000000000000	0.00000000000000
0.51650000000000	-0.73009870863464	-0.66827738824207	50.000000000000	0.00000000000000
0.52200000000000	-0.76968237008840	-0.62244211687936	50.000000000000	0.00000000000000
0.52750000000000	-0.80644042417396	-0.57420851450575	50.000000000000	0.00000000000000
0.53300000000000	-0.84022542957926	-0.52373762587582	50.000000000000	0.00000000000000
0.53850000000000	-0.87089814480087	-0.47119932341697	50.000000000000	0.00000000000000
0.54400000000000	-0.89832798192416	-0.41677192075230	50.000000000000	0.00000000000000
0.54950000000000	-0.92239343592392	-0.36064177007286	50.000000000000	0.00000000000000
0.55500000000000	-0.94298248885933	-0.30300284612206	50.000000000000	0.00000000000000
0.56050000000000	-0.95999298859250	-0.24405631970785	50.000000000000	0.00000000000000
0.56600000000000	-0.97333300193266	-0.18401012381060	50.000000000000	0.00000000000000
0.57150000000000	-0.98292114239424	-0.12307851551227	50.000000000000	0.00000000000000
0.57700000000000	-0.98868687306432	-0.061481637142308	50.000000000000	0.00000000000000
0.58250000000000	-0.99057078540224	0.00055491977795925	50.000000000000	0.00000000000000
0.58800000000000	-0.98852485515239	0.062800543995507	50.000000000000	0.00000000000000
0.59350000000000	-0.98251267694524	0.12502002334228	50.000000000000	0.00000000000000
0.59900000000000	-0.97250967960599	0.18697394855776	50.000000000000	0.00000000000000
0.60450000000000	-0.95850332469916	0.24841909739957	50.000000000000	0.00000000000000
0.61000000000000	-0.94049329143469	0.30910879387257	50.000000000000	0.00000000000000
