#Parameters = {Disk_Antenna_1_S11_target_top=-17; Disk_Antenna_1_center_frequency=2.45; Disk_Antenna_1_central_pipe_radius=2.5; Disk_Antenna_1_connector_inner_diameter=1.74; Disk_Antenna_1_connector_outer_diameter=4; Disk_Antenna_1_direction_disks_diameter_1=53.5; Disk_Antenna_1_direction_disks_diameter_2=40.3; Disk_Antenna_1_direction_disks_diameter_3=38.5; Disk_Antenna_1_direction_disks_diameter_4=38.5; Disk_Antenna_1_direction_disks_diameter_5=34.5; Disk_Antenna_1_disk_metallization_thickness=0.5; Disk_Antenna_1_frequency_range=0.15; Disk_Antenna_1_inter_direction_disks_distance_1=30.7; Disk_Antenna_1_inter_direction_disks_distance_2=30.7; Disk_Antenna_1_inter_direction_disks_distance_3=29.4; Disk_Antenna_1_inter_direction_disks_distance_4=29.4; Disk_Antenna_1_line_direction_disk_distance=11.3; Disk_Antenna_1_line_disk_diameter=68.3; Disk_Antenna_1_main_line_disks_distance=9.7; Disk_Antenna_1_main_reflector_diameter=90.2; Disk_Antenna_1_number_direction_disk=5; Disk_Antenna_1_nut_diameter=8; Disk_Antenna_1_nut_height=1; Disk_Antenna_1_nut_thickness=3; Disk_Antenna_1_optimisation_range=0.1; Disk_Antenna_1_port_connection_offset=24.8}
#"Frequency / GHz"	"S1,1 [Re]"	"S1,1 [Im]"	"Ref.Imp. [Re]"	"Ref.Imp. [Im]"
#-------------------------------------------------------------------------
0.50000000000000	-0.21493950838103	0.93453284636323	50.000000000000	0.00000000000000
0.50550000000000	-0.20204249602523	0.93688484450858	50.000000000000	0.00000000000000
0.51100000000000	-0.18910705460669	0.93904946013466	50.000000000000	0.00000000000000
0.51650000000000	-0.17613486088856	0.94102516926954	50.000000000000	0.00000000000000
0.52200000000000	-0.16312761027877	0.94281039476417	50.000000000000	0.00000000000000
0.52750000000000	-0.15008702032618	0.94440350296167	50.000000000000	0.00000000000000
0.53300000000000	-0.13701483455359	0.94580280031580	50.000000000000	0.00000000000000
0.53850000000000	-0.12391282665401	0.94700652996763	50.000000000000	0.00000000000000
0.54400000000000	-0.11078280507836	0.94801286829111	50.000000000000	0.00000000000000
0.54950000000000	-0.097626618044771	0.94881992142146	50.000000000000	0.00000000000000
0.55500000000000	-0.084446159002365	0.94942572178128	50.000000000000	0.00000000000000
0.56050000000000	-0.071243372584044	0.94982822462488	50.000000000000	0.00000000000000
0.56600000000000	-0.058020261085425	0.95002530462162	50.000000000000	0.00000000000000
0.57150000000000	-0.044778891510029	0.95001475250602	50.000000000000	0.00000000000000
0.57700000000000	-0.031521403222055	0.94979427182570	50.000000000000	0.00000000000000
0.58250000000000	-0.018250016251772	0.94936147582300	50.000000000000	0.00000000000000
0.58800000000000	-0.0049670403002388	0.94871388449361	50.000000000000	0.00000000000000
0.59350000000000	0.0083251155074970	0.94784892187098	50.000000000000	0.00000000000000
0.59900000000000	0.021623932069365	0.94676391359427	50.000000000000	0.00000000000000
0.60450000000000	0.034926768900832	0.94545608482583	50.000000000000	0.00000000000000
0.61000000000000	0.048230851821710	0.94392255859431	50.000000000000	0.00000000000000
0.61550000000000	0.061533259680764	0.94216035465102	50.000000000000	0.00000000000000
0.62100000000000	0.074830910062560	0.94016638894020	50.000000000000	0.00000000000000
0.62650000000000	0.088120543920932	0.93793747379717	50.000000000000	0.00000000000000
0.63200000000000	0.10139870908784	0.93547031900543	50.000000000000	0.00000000000000
0.63750000000000	0.11466174260745	0.93276153386183	50.000000000000	0.00000000000000
0.64300000000000	0.12790575185116	0.92980763041620	50.000000000000	0.00000000000000
0.64850000000000	0.14112659437873	0.92660502807812	50.000000000000	0.00000000000000
0.65400000000000	0.15431985651779	0.92315005980224	50.000000000000	0.00000000000000
0.65950000000000	0.16748083065154	0.91943898009491	50.000000000000	0.00000000000000
0.66500000000000	0.18060449121861	0.91546797510754	50.000000000000	0.00000000000000
0.67050000000000	0.19368546945597	0.91123317511832	50.000000000000	0.00000000000000
0.67600000000000	0.20671802694073	0.90673066973102	50.000000000000	0.00000000000000
0.68150000000000	0.21969602802520	0.90195652615570	50.000000000000	0.00000000000000
0.68700000000000	0.23261291130156	0.89690681097045	50.000000000000	0.00000000000000
0.69250000000000	0.24546166028679	0.89157761579708	50.000000000000	0.00000000000000
0.69800000000000	0.25823477358195	0.88596508735778	50.000000000000	0.00000000000000
0.70350000000000	0.27092423483666	0.88006546241144	50.000000000000	0.00000000000000
0.70900000000000	0.28352148293982	0.87387510809471	50.000000000000	0.00000000000000
0.71450000000000	0.29601738296406	0.86739056821351	50.000000000000	0.00000000000000
0.72000000000000	0.30840219851395	0.86060861604168	50.000000000000	0.00000000000000
0.72550000000000	0.32066556627087	0.85352631418026	50.000000000000	0.00000000000000
0.73100000000000	0.33279647368644	0.84614108200952	50.000000000000	0.00000000000000
0.73650000000000	0.34478324096027	0.83845077122152	50.000000000000	0.00000000000000
0.74200000000000	0.35661350863583	0.83045374984529	50.000000000000	0.00000000000000
0.74750000000000	0.36827423236812	0.82214899506304	50.000000000000	0.00000000000000
0.75300000000000	0.37975168665014	0.81353619495568	50.000000000000	0.00000000000000
0.75850000000000	0.39103147952731	0.80461585909826	50.000000000000	0.00000000000000
0.76400000000000	0.40209858057466	0.79538943764235	50.000000000000	0.00000000000000
0.76950000000000	0.41293736464591	0.78585944815942	50.000000000000	0.00000000000000
0.77500000000000	0.42353167411455	0.77602960906982	50.000000000000	0.00000000000000
0.78050000000000	0.43386490249271	0.76590497793360	50.000000000000	0.00000000000000
